Category,Feature,PearsonR,Category_Mean_Corr,Category_Std_Corr
compositional,avg_is_alkaline,0.6726844310703172,0.12702143965120274,0.4725634952086255
experimental,temperature(K),0.5002177184042446,0.5002177184042442,
electronic,avg_polzbl_divi_atom_mass,0.47440361672539255,0.47440361672539183,
density,range_Density_(g/mL),0.16100855793302238,0.1610085579330226,
thermal_properties,range_heat_of_vaporization_(kJ/mol)_,0.1359398546742255,0.0831568737819264,0.053254824007768965
thermal_properties,range_specific_heat_(J/g_K)_,0.11784978732375069,0.0831568737819264,0.053254824007768965
thermal_properties,dev_specific_heat_(J/g_K)_,0.05802768075305623,0.0831568737819264,0.053254824007768965
thermal_properties,dev_heat_of_vaporization_(kJ/mol)_,0.02081017237667273,0.0831568737819264,0.053254824007768965
structural_geometric,dev_bp_divi_atom_mass,-0.143322449573137,-0.31325263459852726,0.11668812716081403
compositional,range_Mendeleev_Number,-0.14353368823850285,0.12702143965120274,0.4725634952086255
compositional,range_Atomic_Weight,-0.14808642387820564,0.12702143965120274,0.4725634952086255
electronegativity_ionization,dev_Gordy_electonegativity,-0.17163550052800675,-0.2652743278760963,0.08537488900601009
electronegativity_ionization,range_Mulliken_EN,-0.21459744380134702,-0.2652743278760963,0.08537488900601009
valence_electron,avg_Number_of_unfilled_s_valence_electrons,-0.22704104855852184,-0.3969533713032003,0.27354374751353083
structural_geometric,dev_atom_mass_mult_therm_cond,-0.243449425666766,-0.31325263459852726,0.11668812716081403
valence_electron,dev_gilmor_number_of_valence_electron,-0.25131566081772627,-0.3969533713032003,0.27354374751353083
electronegativity_ionization,range_first_ion_en_mult_X,-0.3297926099745887,-0.2652743278760963,0.08537488900601009
electronegativity_ionization,dev_Pauling_Electronegativity,-0.34507175720044475,-0.2652743278760963,0.08537488900601009
structural_geometric,dev_voro_coord_divi_mol_vol,-0.3613765681344755,-0.31325263459852726,0.11668812716081403
structural_geometric,dev_Zunger_radii_sum,-0.40443596454330044,-0.31325263459852726,0.11668812716081403
structural_geometric,dev_Covalent_Radius,-0.4136787650749583,-0.31325263459852726,0.11668812716081403
valence_electron,avg_valence_d,-0.7125034045333533,-0.3969533713032003,0.27354374751353083
