Feature,PearsonR,Mutual_Info,Diff
dev_specific_heat_(J/g_K)_,0.0580276807530559,0.5145353607069874,0.45650767995393143
avg_polzbl_divi_atom_mass,0.4744036167253918,0.8489724202646314,0.3745688035392396
range_Mendeleev_Number,-0.1435336882385022,0.48847409633422023,0.344940408095718
dev_heat_of_vaporization_(kJ/mol)_,0.0208101723766732,0.3358367076220876,0.3150265352454144
range_specific_heat_(J/g_K)_,0.1178497873237509,0.4177716645529008,0.2999218772291499
range_Density_(g/mL),0.1610085579330226,0.4550782975491061,0.2940697396160835
range_heat_of_vaporization_(kJ/mol)_,0.1359398546742254,0.39853478451942426,0.26259492984519883
range_Mulliken_EN,-0.2145974438013468,0.4708923200412305,0.2562948762398837
range_Atomic_Weight,-0.1480864238782053,0.4029827884730257,0.2548963645948204
dev_Zunger_radii_sum,-0.4044359645433006,0.6297437445740317,0.2253077800307311
dev_bp_divi_atom_mass,-0.1433224495731372,0.34791233829256907,0.20458988871943187
dev_gilmor_number_of_valence_electron,-0.2513156608177263,0.4459724418200741,0.1946567810023478
dev_Gordy_electonegativity,-0.1716355005280068,0.3623236633735476,0.1906881628455408
range_first_ion_en_mult_X,-0.3297926099745878,0.49754940735675923,0.16775679738217142
dev_voro_coord_divi_mol_vol,-0.3613765681344743,0.46771982586252303,0.10634325772804876
avg_valence_d,-0.7125034045333525,0.8128875461074485,0.10038414157409603
dev_atom_mass_mult_therm_cond,-0.2434494256667657,0.3399954280742743,0.0965460024075086
dev_Pauling_Electronegativity,-0.3450717572004435,0.4397351819999695,0.09466342479952605
avg_Number_of_unfilled_s_valence_electrons,-0.227041048558522,0.31048945031994224,0.08344840176142024
dev_Covalent_Radius,-0.4136787650749582,0.48722347110680575,0.07354470603184754
temperature(K),0.5002177184042442,0.32192140931184055,-0.17829630909240368
avg_is_alkaline,0.6726844310703158,0.27918452469611443,-0.3934999063742014
