Model,CV_R2_Mean,CV_R2_Std,CV_RMSE_Mean,CV_MAE_Mean,CV_Weighted_Mean,Val_R2_Orig,Val_MAE_Orig,Overfitting,Fit_Time (s)
CatBoost,0.7444044826247176,0.0430435746662517,0.1707825284966047,0.11202619898076797,4.037014145660035,0.729440858102564,0.2868580332469261,0.24233696779802738,4.1353185176849365
RandomForest,0.7335904621959839,0.026098847012856235,0.17490297117576414,0.11389267098662484,3.962506828450106,0.7539828379873318,0.28976517004309466,0.20991159899010048,0.6576700210571289
GradientBoosting,0.7333727879201564,0.03477541611789017,0.17485777088462207,0.11987292512142096,3.788897843560992,0.7149121306562372,0.3221824591525917,0.1871795352294663,0.5713906288146973
ExtraTrees,0.7313206609912358,0.04768023483792657,0.17491283944022545,0.11102155934118067,4.057380327374739,0.7965325472581725,0.2663687269369052,0.20340601380296663,0.44091033935546875
SVR,0.7084793877439463,0.03592474949772806,0.18285505858564072,0.1231654123963715,3.676232595692433,0.7447593249826505,0.3110797334779271,0.07675149812952231,0.07679510116577148
MLP,0.6735797209472528,0.016993087683408473,0.19380297817679065,0.13207505345083992,3.4396014387077636,0.6611884885749004,0.3581280630192649,0.12493536820344842,0.5535798072814941
KNN,0.6677379925771878,0.04067024798674245,0.1951781575319116,0.12685826185276358,3.5577221045328473,0.7568495594115929,0.315459417194038,0.05675928447684275,0.1582038402557373
AdaBoost,0.6348004235149134,0.05090064950253687,0.2045547247187701,0.15895904206605818,2.903082094026451,0.6082946745663442,0.4499772183863187,0.14516802262405004,0.27280402183532715
Ridge,0.6239831100416862,0.03579664528531186,0.2078223136410391,0.14456305232780067,3.1422057970011545,0.656761647428403,0.39103686481989336,0.03848014000560884,1.5517916679382324
BayesianRidge,0.6224964749792579,0.037309802734537094,0.20821162627662115,0.14486649598591622,3.135730109138204,0.6553701716911833,0.3924152445146217,0.038657774969634184,0.9828031063079834
DecisionTree,0.506359002606392,0.046191974157367394,0.23812098441478793,0.15347641160463815,2.9175040975978654,0.45059443787188425,0.3971324742771698,0.5493441231892549,0.08495521545410156
Lasso,-0.0005341487432236391,0.0003793787754532568,0.33959659543401627,0.25290662041642964,1.581677079707834,-0.015860040958869392,0.672188088780963,-0.00834756713957252,0.9760167598724365
ElasticNet,-0.0005341487432236391,0.0003793787754532568,0.33959659543401627,0.25290662041642964,1.581677079707834,-0.015860040958869392,0.672188088780963,-0.00834756713957252,0.9763402938842773
