Composition,log_H2_W% (max),temperature(K),MagpieData mean Column,VEC mean,MagpieData mean Number,MagpieData mode CovalentRadius,MagpieData mean MendeleevNumber,Mixing enthalpy,Mean cohesive energy,MagpieData mode Number,MagpieData mode NdValence,MagpieData mean NsValence,MagpieData avg_dev CovalentRadius,MagpieData avg_dev AtomicWeight,MagpieData mean CovalentRadius,MagpieData range Electronegativity,MagpieData mean SpaceGroupNumber,MagpieData avg_dev NValence,Shear modulus local mismatch,Miedema_deltaH_ss_min,MagpieData avg_dev MendeleevNumber,Shear modulus mean,MagpieData mean GSvolume_pa
Mg0.879Ni0.121,1.9021075263969205,596,2.968,2.968,13.936,141,67.153,1.701744,1.86453,12,0,2.0,3.616206,7.315031671,138.943,0.6,197.751,1.701744,6.13585071,0.023548085,1.489026,24.34049,21.36903
Mg0.882Cu0.118,1.840549633397487,603,3.062,3.062,14.006,141,67.528,1.248912,1.74364,12,0,1.882,1.873368,8.168092632,139.938,0.59,197.658,1.873368,2.89019052,-0.001835561,0.832608,20.63686,21.49524
Mg0.976V0.024,1.88706964903238,573,2.072,2.072,12.264,141,67.472,2.155008,1.6012,12,0,2.0,0.562176,1.247866752,141.288,0.32,194.84,0.140544,0.68257536,0.026092987,1.030656,18.05936,22.65288
Mg0.976V0.024,1.916922612182061,583,2.072,2.072,12.264,141,67.472,2.155008,1.6012,12,0,2.0,0.562176,1.247866752,141.288,0.32,194.84,0.140544,0.68257536,0.026092987,1.030656,18.05936,22.65288
Mg0.72Li0.28,1.871802176901592,623,1.72,1.72,9.48,141,49.24,1e-06,1.5436,12,0,1.72,5.2416,7.0011648,137.36,0.33,203.8,0.4032,2.6474112,-0.000588159,27.0144,13.68304,21.12693333
Mg12La1,1.9315214116032136,598,2.076923077,2.076923077,15.46153846,141,63.76923077,1.98816568,1.737692308,12,0,2.0,9.372781065,16.27462296,146.0769231,0.21,194.0,0.142011834,0.173964497,-0.010429734,7.810650888,17.17153846,23.9675
Mg0.90Ce0.1,1.908059924924216,593,2.1,2.2,16.6,141,62.7,2.52,1.791,12,0,2.0,11.34,20.84598,147.3,0.19,194.0,0.36,0.4851,-0.019237931,9.54,16.821,24.325
Mg2Fe1,1.867176108512809,673,4.0,4.0,16.66666667,141,63.66666667,16.0,2.433333333,12,0,2.0,4.0,14.01777778,138.0,0.52,205.6666667,2.666666667,14.25777778,0.184896988,5.777777778,38.74666667,18.83666667
Mg0.889La0.034Ni0.077,1.8562979903656265,553,2.65,2.65,14.762,141,65.591,2.22432,1.83625,12,0,2.0,4.42442,11.6358059,141.935,0.81,196.387,1.1557,4.18055379,-0.020348942,4.283202,21.71883,22.398365
Mg0.9Ni0.047Fe0.024Ti0.029,2.0438143640366846,573,2.578,2.578,13.378,141,66.634,2.301628,1.81105,12,0,2.0,1.964112,5.50172304,140.536,0.6,196.297,1.0404,4.48514917,0.00823507,2.4588,22.24869,21.82757
Mg22Y3,2.012232791986386,653,2.12,2.12,15.24,141,61.28,2.5344,1.8532,12,0,2.0,10.3488,13.64369952,146.88,0.09,194.0,0.2112,0.891264,-0.018812322,11.8272,18.3728,24.027
Mg1Zr0.015Ni0.026,1.8562979903656265,577,2.228626321,2.228626321,12.80307397,141,67.47934678,0.122213087,1.651479347,12,0,2.0,0.977944617,3.502660654,141.0653218,0.6,194.7742555,0.439243652,1.631102603,-0.011222786,1.000294367,19.0426513,22.58044669
Ce1Ni3Cr2,1.8229350866965048,293,7.5,7.666666667,31.66666667,124,49.33333333,10.66666667,4.306666667,28,8,1.666666667,20.55555556,23.36153333,142.3333333,0.79,221.1666667,2.333333333,18.01666667,-0.10933896,11.66666667,78.42,15.09666667
