Feature,Description
avg_polzbl_divi_atom_mass,"Turning points (sign changes) at approx: [0.1671297491535738, 0.1685677710822991, 0.1685850166353152, 0.1687399487450173, 0.169950588291929, 0.170007800600665, 0.1706105083083877, 0.1709506341703361, 0.1715676476108184, 0.1718209366630237, 0.1736801588290967, 0.1751123684358846, 0.1764651898274017, 0.1765797920984121, 0.1783900817691063, 0.1788067602343288, 0.1790921328024065, 0.1793802545137238, 0.1798322517635038, 0.1800727091863768, 0.180219783082769, 0.1808119278852821, 0.181184341077967, 0.1819459130297827, 0.1821922300557593, 0.1826189588900043, 0.18262649618344, 0.183961355635229, 0.1842681269658062, 0.1874042239155615, 0.1874417328454823, 0.1903538015934773, 0.1905204768307848, 0.1922313612458137, 0.1927005187275501, 0.193622170603851, 0.1942246415782042, 0.1951390411722062, 0.1953823210159582, 0.1955205933202402, 0.1960987959999563, 0.1968840273695475, 0.1971885791478937, 0.2005434360426183, 0.2007212283790072, 0.2035604602251657, 0.2036031659926263, 0.2094186927832421, 0.2099182377186232, 0.2114598456370333, 0.2118568287862968, 0.212629268843255, 0.2127080771080525, 0.2133963981005139, 0.2135581443268017, 0.2154865353830442, 0.2157171838890881, 0.2236237780298448, 0.2236473080787576, 0.229417814010207, 0.2294509160153611, 0.2302106927038396, 0.2302889320272194, 0.2309627598872395, 0.231085969080324, 0.2312013308632584, 0.2314181746330654]. Saturation indicated in 183 regions (low change in SHAP)."
dev_Zunger_radii_sum,Turning points (sign changes) at approx: [0.1792]. Saturation indicated in 291 regions (low change in SHAP).
dev_Pauling_Electronegativity,"Turning points (sign changes) at approx: [0.214166667, 0.217959184, 0.21799308, 0.238518519, 0.238875, 0.294105988, 0.295343594, 0.313, 0.315555556, 0.3164375, 0.31875, 0.542222222, 0.770591201]. Saturation indicated in 276 regions (low change in SHAP)."
avg_valence_d,"Turning points (sign changes) at approx: [3.6, 3.644067797, 3.666666667, 3.666666667, 3.689, 3.689655172, 3.716, 3.71875, 3.71957672, 3.723333333, 3.725, 3.731578947, 3.733333333, 3.733333333, 3.733333333, 3.733333333, 3.739130435, 3.75, 3.75, 3.785714286, 3.792746114, 3.793103448, 3.795, 3.8, 3.8, 3.8, 3.8, 3.82, 3.866666667, 3.866666667, 3.866666667, 3.866666667, 3.866666667, 3.875, 3.875]. Saturation indicated in 270 regions (low change in SHAP)."
dev_atom_mass_mult_therm_cond,Turning points (sign changes) at approx: [770.2595763523979]. Saturation indicated in 310 regions (low change in SHAP).
avg_is_alkaline,Turning points (sign changes) at approx: [0.805]. Saturation indicated in 624 regions (low change in SHAP).
dev_bp_divi_atom_mass,"Turning points (sign changes) at approx: [8.923836935005031, 8.95980767381976, 9.021396688624291, 9.034719874560048, 10.02331479561574, 10.036985574135755, 10.038521973228695, 10.042278808393124, 10.05893736253959, 10.12314842119654, 10.221631966242487, 10.238340772159749, 10.239628669464008, 10.242512572090916, 10.3056848826907, 10.32191425259154, 10.32219321233212, 10.345040450216905, 10.353301025994211, 10.358634233716966, 10.446876546143978, 10.44898364148261, 10.535867846099984, 10.575982190562216, 10.581010419953415, 10.598443702837775, 10.632587419302611, 10.632587419302611, 10.870017792787822, 10.912505203032584, 10.95646736991473, 10.958913740620051, 10.969244282952982, 11.03147355706432, 11.150559222708946, 11.167473131397328, 11.243116471135696, 11.36979730758083, 11.36979730758083, 11.384307460404209, 11.403942418642254, 11.457821666987194, 11.47818702439704, 11.536702855275411, 11.57102146528974, 11.586663880782671, 11.592921567660008, 11.627717757902795, 11.634757267216273, 11.649978273920656, 11.795093193932397, 11.796686591166308, 11.900629630637152, 11.914371312119766, 11.96060790312843, 12.007759798299318, 12.01144424990392, 12.042086337638796, 12.27834964512309, 12.310312907233635, 12.35481941196603, 12.482383476361935, 12.485553465654355, 12.532183298823195, 12.643425456076546, 12.646785263957549, 12.728539673182173, 12.732387491350096, 12.779183138297553, 12.78723466161358, 12.789056821057462, 12.803834511941163, 12.813986759436718, 12.9331435708506, 12.935061084784094, 12.937542246120191, 12.97687153708504, 12.990623026469244, 13.087754239001304, 13.152570558260717, 13.244133761730655, 13.273340539319184, 13.421754944222656, 13.632267303086556, 13.687973868479483]. Saturation indicated in 271 regions (low change in SHAP)."
dev_specific_heat_(J/g_K)_,"Turning points (sign changes) at approx: [0.000212729, 0.0002775, 0.013959, 0.01488762, 0.021742377, 0.02188968, 0.02384844, 0.023924524, 0.024116753, 0.024125251, 0.024353, 0.024444444, 0.02482944, 0.02488, 0.02678784, 0.02685, 0.029683945, 0.029935877, 0.031955923, 0.032111111, 0.03738024, 0.037414152, 0.0413, 0.041790365, 0.042826, 0.042944444, 0.0439375, 0.044148063, 0.048593636, 0.048622222, 0.0513, 0.0513, 0.062857493, 0.063888889, 0.064608439, 0.1344, 0.1352, 0.135555556, 0.137496, 0.14124, 0.142222222, 0.144444444, 0.145, 0.146666667, 0.15, 0.1504, 0.1525, 0.153706371, 0.15768595, 0.158884688, 0.168055556, 0.168888889, 0.324134126, 0.38]. Saturation indicated in 287 regions (low change in SHAP)."
dev_gilmor_number_of_valence_electron,"Turning points (sign changes) at approx: [0.0, 0.0, 0.0, 0.0, 4.44e-16, 4.44e-16, 4.44e-16, 4.44e-16, 0.007968, 0.01, 0.277777778, 0.277777778, 0.277777778, 0.277777778, 0.277777778, 0.277777778, 0.277777778, 0.277777778, 0.277777778, 0.277777778, 0.277777778, 0.2822, 0.333333333, 0.345432, 0.35, 0.355, 0.388888889, 0.389648438, 0.70805, 0.721111111, 0.722222222, 0.75, 0.75, 0.75, 0.75, 0.75, 0.754827958, 0.795005203, 0.8, 0.833333333, 0.85, 0.862222222, 0.86868705, 0.888888889, 0.888888889, 0.888888889, 0.888888889, 0.888888889, 0.888888889, 0.888888889, 0.888888889, 0.888888889, 0.9075, 0.916666667, 0.918367347, 0.96, 0.9609375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0144, 1.111111111, 1.111111111, 1.111111111, 1.111111111, 1.125, 1.128728836, 1.163434903, 1.163434903, 1.163434903, 1.166666667, 1.166666667, 1.167533819, 1.170360111, 1.171875, 1.179138322, 1.180663845, 1.183345508, 1.183431953, 1.183673469, 1.186666667, 1.2, 1.2, 1.2, 1.2, 1.2, 1.212577264, 1.224489796, 1.226666667, 1.229531744, 1.229531744, 1.230769231, 1.233333333, 1.234975331, 1.25, 1.252266667, 1.253333333, 1.26, 1.263544536, 1.277777778, 1.277835588, 1.28, 1.28, 1.305555556, 1.306666667, 1.311111111, 1.3125, 1.314878893, 1.320612739, 1.326530612, 1.328162633, 1.328889084, 1.331900027, 1.333333333, 1.333333333, 1.333333333, 1.333333333, 1.333333333, 1.333333333, 1.333333333, 1.333333333, 1.333333333, 1.338887396, 1.351111111, 1.351111111, 1.351111111, 1.352324644, 1.354474604, 1.355529132, 1.359044995, 1.36, 1.36, 1.36, 1.370319198, 1.395088, 1.399176955, 1.40625, 1.426213872, 1.426572, 1.431111111, 1.4315, 1.44, 1.44, 1.44, 1.456586491, 1.4664, 1.473864, 1.475, 1.495844875, 1.496080491, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.777777778]. Saturation indicated in 264 regions (low change in SHAP)."
dev_Covalent_Radius,"Turning points (sign changes) at approx: [0.00266534, 0.00285, 0.002969165, 0.003168, 0.0178, 0.018, 0.022125, 0.022222222, 0.0224, 0.0226226, 0.022751569, 0.023377778, 0.0234, 0.023644444, 0.024, 0.024042295, 0.024264363, 0.02445, 0.024714926, 0.0255, 0.025604, 0.026222222, 0.0266, 0.026666667, 0.0276, 0.027850403, 0.052944676, 0.052977778, 0.113888889, 0.113888889, 0.115, 0.115138889, 0.115904132, 0.116111111, 0.116927006, 0.117222222, 0.12, 0.128088643, 0.128627778, 0.195, 0.195, 0.235555556, 0.23625]. Saturation indicated in 253 regions (low change in SHAP)."
