Interacting_Feature,Mean_Abs_Interaction
dev_Pauling_Electronegativity,0.023669816753226665
dev_Zunger_radii_sum,0.01898522947302419
dev_atom_mass_mult_therm_cond,0.01782675978762297
avg_is_alkaline,0.013007909745561144
avg_valence_d,0.012621933525027648
dev_specific_heat_(J/g_K)_,0.004519880094868143
dev_gilmor_number_of_valence_electron,0.004149734102267705
dev_bp_divi_atom_mass,0.003964871428849881
dev_Covalent_Radius,0.003559567923949808
range_heat_of_vaporization_(kJ/mol)_,0.003208392751578466
range_Mulliken_EN,0.0030088213251977538
range_specific_heat_(J/g_K)_,0.0024274496319346096
range_Mendeleev_Number,0.0017803145975159016
range_Atomic_Weight,0.001664562902636734
dev_heat_of_vaporization_(kJ/mol)_,0.0015956868427702046
dev_Gordy_electonegativity,0.001492480061228548
range_Density_(g/mL),0.001464955248501078
dev_voro_coord_divi_mol_vol,0.0013660524595301919
range_first_ion_en_mult_X,0.0012429678223034085
temperature(K),0.0006816989732417458
avg_Number_of_unfilled_s_valence_electrons,0.0002696738802227623
