Element,Mean_Temp,Mean_Capacity,Frequency
Mg,538.8300970873786,3.3152427184466022,206
Ni,369.3271889400922,1.905921658986175,434
Al,401.6223776223776,1.9183916083916084,143
Cu,390.50632911392404,1.6708860759493671,79
La,347.13432835820896,1.791442786069652,201
Fe,317.2852760736196,1.8257055214723925,326
Cr,308.61035422343326,1.9891553133514985,367
Zr,318.25102040816324,1.7298979591836734,490
Tm,463.0,3.2,2
V,314.2126582278481,2.285898734177215,395
Y,408.23809523809524,1.9719047619047618,42
Li,585.2142857142857,1.6607142857142854,28
Si,398.8125,1.3875000000000002,16
Sn,391.0571428571429,1.5194285714285714,35
Zn,531.25,2.2741666666666664,12
Sc,466.5,2.465,6
Nd,354.57894736842104,1.601578947368421,19
Ba,523.6666666666666,3.366666666666667,3
Ce,334.45714285714286,1.7092857142857143,70
Ti,319.55846422338567,2.032809773123909,573
Mn,308.66821345707655,1.7705800464037122,431
Co,344.8011363636364,1.4070454545454545,176
Sm,398.77777777777777,1.4544444444444444,9
Ag,370.77777777777777,1.4222222222222223,9
Pd,338.0769230769231,0.8248076923076924,52
Hf,359.9756097560976,1.8219512195121952,41
B,341.2,1.6420000000000001,10
Th,309.0769230769231,1.0699999999999998,13
Nb,337.6744186046512,2.2445348837209296,86
Be,294.6666666666667,2.6333333333333333,3
Mo,326.0,1.8781081081081084,37
U,450.0,0.8,5
Ca,296.88235294117646,1.5852941176470587,17
Dy,329.77777777777777,1.4000000000000001,9
Er,325.38461538461536,1.2461538461538464,13
Gd,392.1666666666667,1.0833333333333333,18
Rh,326.5625,0.940625,16
Ru,413.0,1.8333333333333333,3
Ho,335.6363636363636,1.3427272727272728,11
Pr,315.6774193548387,1.080322580645161,31
Tb,356.125,1.125,8
N,303.0,1.7,1
Ge,442.75,1.075,4
Ga,306.3333333333333,1.4549999999999998,6
Eu,298.0,1.2,1
In,303.0,2.4,2
Pt,316.6666666666667,0.7455555555555555,9
Ta,353.8,2.2079999999999997,15
Lu,293.0,1.0,1
Ir,301.75,1.1,4
Pb,298.0,0.4,1
Au,313.0,3.6,1
Os,313.0,3.4,1
Re,313.0,3.4,1
W,305.5,1.965,2
